"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","ALBANY PARK","2009","PEDALCYCLIST",26,29,0,2,10,17
"2","ALBANY PARK","2009","PEDESTRIAN",44,47,0,9,19,19
"3","ALBANY PARK","2009","Vehicle/Other",1010,118,0,11,47,60
"4","ALBANY PARK","2010","PEDALCYCLIST",28,27,0,2,20,5
"5","ALBANY PARK","2010","PEDESTRIAN",39,39,1,7,21,11
"6","ALBANY PARK","2010","Vehicle/Other",1003,120,0,10,62,48
"7","ALBANY PARK","2011","PEDALCYCLIST",40,37,0,2,26,9
"8","ALBANY PARK","2011","PEDESTRIAN",38,41,1,9,15,17
"9","ALBANY PARK","2011","Vehicle/Other",994,121,0,4,69,48
"10","ALBANY PARK","2012","PEDALCYCLIST",46,45,0,3,22,20
"11","ALBANY PARK","2012","PEDESTRIAN",45,44,0,3,25,16
"12","ALBANY PARK","2012","Vehicle/Other",1043,139,0,11,68,60
"13","ALBANY PARK","2013","PEDALCYCLIST",34,29,0,3,14,12
"14","ALBANY PARK","2013","PEDESTRIAN",44,43,0,3,29,11
"15","ALBANY PARK","2013","Vehicle/Other",972,105,0,5,45,55
"16","ALBANY PARK","2014","PEDALCYCLIST",43,41,0,1,27,13
"17","ALBANY PARK","2014","PEDESTRIAN",31,31,0,7,16,8
"18","ALBANY PARK","2014","Vehicle/Other",947,109,0,9,56,44
"19","ALBANY PARK","2015","PEDALCYCLIST",19,17,0,3,7,7
"20","ALBANY PARK","2015","PEDESTRIAN",37,34,0,4,16,14
"21","ALBANY PARK","2015","Vehicle/Other",1019,128,0,21,52,55
"22","ALBANY PARK","2016","PEDALCYCLIST",51,50,0,1,26,23
"23","ALBANY PARK","2016","PEDESTRIAN",38,36,0,3,12,21
"24","ALBANY PARK","2016","Vehicle/Other",1141,104,1,5,44,55
"25","ALBANY PARK","2017","PEDALCYCLIST",21,20,0,1,13,6
"26","ALBANY PARK","2017","PEDESTRIAN",46,47,0,7,24,16
"27","ALBANY PARK","2017","Vehicle/Other",987,131,0,19,61,51
"28","ALBANY PARK",NA,"Vehicle/Other",1,0,0,0,0,0
"29","ARCHER HEIGHTS","2009","PEDALCYCLIST",9,9,0,0,6,3
"30","ARCHER HEIGHTS","2009","PEDESTRIAN",20,19,1,3,11,5
"31","ARCHER HEIGHTS","2009","Vehicle/Other",676,143,3,13,61,69
"32","ARCHER HEIGHTS","2010","PEDALCYCLIST",6,6,0,2,3,1
"33","ARCHER HEIGHTS","2010","PEDESTRIAN",5,6,0,2,1,3
"34","ARCHER HEIGHTS","2010","Vehicle/Other",631,148,0,11,59,78
"35","ARCHER HEIGHTS","2011","PEDALCYCLIST",8,8,0,2,3,3
"36","ARCHER HEIGHTS","2011","PEDESTRIAN",12,12,0,3,5,4
"37","ARCHER HEIGHTS","2011","Vehicle/Other",651,134,0,6,68,60
"38","ARCHER HEIGHTS","2012","PEDALCYCLIST",6,6,0,0,4,2
"39","ARCHER HEIGHTS","2012","PEDESTRIAN",17,19,0,0,12,7
"40","ARCHER HEIGHTS","2012","Vehicle/Other",673,133,1,12,62,59
"41","ARCHER HEIGHTS","2013","PEDALCYCLIST",14,12,0,0,9,3
"42","ARCHER HEIGHTS","2013","PEDESTRIAN",9,7,1,1,4,2
"43","ARCHER HEIGHTS","2013","Vehicle/Other",734,131,0,18,50,63
"44","ARCHER HEIGHTS","2014","PEDALCYCLIST",3,2,1,2,0,0
"45","ARCHER HEIGHTS","2014","PEDESTRIAN",9,10,0,2,4,4
"46","ARCHER HEIGHTS","2014","Vehicle/Other",729,129,1,6,65,58
"47","ARCHER HEIGHTS","2015","PEDALCYCLIST",3,3,0,1,0,2
"48","ARCHER HEIGHTS","2015","PEDESTRIAN",14,12,0,2,8,2
"49","ARCHER HEIGHTS","2015","Vehicle/Other",711,129,0,8,69,52
"50","ARCHER HEIGHTS","2016","PEDALCYCLIST",7,6,0,0,4,2
"51","ARCHER HEIGHTS","2016","PEDESTRIAN",16,15,0,2,5,8
"52","ARCHER HEIGHTS","2016","Vehicle/Other",892,131,1,9,85,37
"53","ARCHER HEIGHTS","2017","PEDALCYCLIST",5,6,0,0,5,1
"54","ARCHER HEIGHTS","2017","PEDESTRIAN",9,10,0,2,6,2
"55","ARCHER HEIGHTS","2017","Vehicle/Other",846,128,1,8,57,63
"56","ARMOUR SQUARE","2009","PEDALCYCLIST",7,7,0,1,4,2
"57","ARMOUR SQUARE","2009","PEDESTRIAN",14,14,0,1,7,6
"58","ARMOUR SQUARE","2009","Vehicle/Other",725,196,3,42,98,56
"59","ARMOUR SQUARE","2010","PEDALCYCLIST",5,5,0,2,0,3
"60","ARMOUR SQUARE","2010","PEDESTRIAN",18,18,0,2,9,7
"61","ARMOUR SQUARE","2010","Vehicle/Other",765,211,3,18,120,73
"62","ARMOUR SQUARE","2011","PEDALCYCLIST",9,9,0,0,4,5
"63","ARMOUR SQUARE","2011","PEDESTRIAN",18,20,0,3,13,4
"64","ARMOUR SQUARE","2011","Vehicle/Other",789,223,0,26,128,69
"65","ARMOUR SQUARE","2012","PEDALCYCLIST",10,7,0,0,6,1
"66","ARMOUR SQUARE","2012","PEDESTRIAN",18,18,0,3,11,4
"67","ARMOUR SQUARE","2012","Vehicle/Other",852,229,2,32,140,57
"68","ARMOUR SQUARE","2013","PEDALCYCLIST",12,10,0,0,7,3
"69","ARMOUR SQUARE","2013","PEDESTRIAN",18,18,0,3,9,6
"70","ARMOUR SQUARE","2013","Vehicle/Other",836,200,2,29,112,59
"71","ARMOUR SQUARE","2014","PEDALCYCLIST",11,9,0,0,6,3
"72","ARMOUR SQUARE","2014","PEDESTRIAN",25,24,0,1,16,7
"73","ARMOUR SQUARE","2014","Vehicle/Other",846,184,1,13,112,59
"74","ARMOUR SQUARE","2015","PEDALCYCLIST",11,12,0,1,9,2
"75","ARMOUR SQUARE","2015","PEDESTRIAN",19,19,0,2,13,4
"76","ARMOUR SQUARE","2015","Vehicle/Other",1090,276,3,16,190,70
"77","ARMOUR SQUARE","2016","PEDALCYCLIST",7,8,0,1,4,3
"78","ARMOUR SQUARE","2016","PEDESTRIAN",18,16,0,1,6,9
"79","ARMOUR SQUARE","2016","Vehicle/Other",1262,246,0,17,142,87
"80","ARMOUR SQUARE","2017","PEDALCYCLIST",5,5,0,0,3,2
"81","ARMOUR SQUARE","2017","PEDESTRIAN",24,22,2,4,12,6
"82","ARMOUR SQUARE","2017","Vehicle/Other",1159,227,0,25,155,47
"83","ASHBURN","2009","PEDALCYCLIST",3,3,0,0,1,2
"84","ASHBURN","2009","PEDESTRIAN",20,21,0,2,10,9
"85","ASHBURN","2009","Vehicle/Other",857,199,0,15,86,98
"86","ASHBURN","2010","PEDALCYCLIST",7,8,0,1,5,2
"87","ASHBURN","2010","PEDESTRIAN",17,17,0,2,8,7
"88","ASHBURN","2010","Vehicle/Other",842,219,0,24,80,115
