"","police_dist","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"1","1","2009","no",3369,933,2,89,393,451
"2","1","2009","yes",347,361,2,39,178,144
"3","1","2010","no",3716,1052,6,104,529,419
"4","1","2011","no",3262,679,0,64,350,265
"5","1","2011","yes",291,286,3,30,163,93
"6","1","2012","no",3099,760,4,64,375,321
"7","1","2012","yes",340,337,1,33,180,124
"8","1","2013","no",3125,777,5,88,339,350
"9","1","2013","yes",274,270,0,31,151,88
"10","1","2014","no",3473,766,5,73,344,349
"11","1","2014","yes",294,272,0,33,165,74
"12","1","2015","no",2981,597,3,73,301,223
"13","1","2015","yes",194,194,4,40,104,50
"14","1","2016","no",3034,543,1,59,298,186
"15","1","2016","yes",193,185,1,18,84,83
"16","1","2017","no",4887,796,4,103,425,268
"17","1","2017","yes",228,222,0,35,132,55
"18","10","2009","no",2324,496,1,54,235,207
"19","10","2009","yes",167,170,0,29,80,61
"20","10","2010","no",2361,736,3,66,360,310
"21","10","2011","no",2143,473,8,37,249,187
"22","10","2011","yes",153,153,1,23,69,61
"23","10","2012","no",2232,539,9,59,236,244
"24","10","2012","yes",150,150,5,22,77,51
"25","10","2013","no",2199,601,6,69,234,298
"26","10","2013","yes",170,176,1,26,93,57
"27","10","2014","no",2282,502,4,48,195,259
"28","10","2014","yes",135,137,1,22,74,41
"29","10","2015","no",1337,250,1,32,91,127
"30","10","2015","yes",63,59,2,12,33,14
"31","10","2016","no",1144,253,2,14,118,121
"32","10","2016","yes",61,58,2,9,24,25
"33","10","2017","no",2218,535,4,48,257,230
"34","10","2017","yes",120,127,2,24,72,31
"35","11","2009","no",3220,1040,12,111,534,395
"36","11","2009","yes",197,206,1,30,107,69
"37","11","2010","no",3468,1280,7,134,683,463
"38","11","2011","no",3147,952,3,72,513,367
"39","11","2011","yes",210,217,1,27,123,67
"40","11","2012","no",3105,974,5,99,518,357
"41","11","2012","yes",201,203,3,28,97,78
"42","11","2013","no",3060,1026,4,105,478,443
"43","11","2013","yes",199,190,0,24,104,62
"44","11","2014","no",3182,1034,5,138,475,421
"45","11","2014","yes",166,156,3,22,107,27
"46","11","2015","no",2267,601,3,107,286,208
"47","11","2015","yes",102,102,4,21,62,19
"48","11","2016","no",2207,623,8,45,356,222
"49","11","2016","yes",92,90,3,12,36,42
"50","11","2017","no",3485,1077,6,104,571,402
"51","11","2017","yes",155,154,5,32,96,26
"52","12","2009","no",5765,1154,12,141,601,412
"53","12","2009","yes",317,322,3,40,150,132
"54","12","2010","no",6479,1542,7,167,847,528
"55","12","2011","no",6111,1188,6,125,644,419
"56","12","2011","yes",298,295,1,44,144,107
"57","12","2012","no",6107,1209,6,151,612,446
"58","12","2012","yes",324,313,2,36,162,115
"59","12","2013","no",6110,1204,4,150,589,465
"60","12","2013","yes",327,308,4,62,169,77
"61","12","2014","no",6578,1159,6,150,596,413
"62","12","2014","yes",329,313,3,46,186,81
"63","12","2015","no",5229,939,6,119,489,331
"64","12","2015","yes",163,163,0,26,97,40
"65","12","2016","no",4841,869,3,81,494,294
"66","12","2016","yes",157,159,1,17,67,75
"67","12","2017","no",6799,1110,16,84,633,393
"68","12","2017","yes",227,224,4,32,143,49
"69","14","2009","no",3890,654,2,69,315,270
"70","14","2009","yes",294,286,2,37,110,139
"71","14","2010","no",4317,1006,4,106,461,439
"72","14","2011","no",4044,742,3,38,360,344
"73","14","2011","yes",279,266,3,32,146,88
"74","14","2012","no",3933,746,4,51,383,312
"75","14","2012","yes",301,296,1,36,154,106
"76","14","2013","no",3856,662,3,54,326,282
"77","14","2013","yes",288,273,0,24,174,75
"78","14","2014","no",3944,679,4,54,344,281
"79","14","2014","yes",323,308,5,22,200,86
"80","14","2015","no",2772,397,1,46,194,157
"81","14","2015","yes",146,140,1,20,79,41
"82","14","2016","no",2562,443,2,49,219,175
"83","14","2016","yes",158,152,0,18,68,66
"84","14","2017","no",3513,559,0,55,268,236
"85","14","2017","yes",180,178,2,29,102,47
"86","15","2009","no",1829,424,5,23,212,189
"87","15","2009","yes",107,112,0,17,48,47
"88","15","2010","no",1840,543,2,41,258,244
"89","15","2011","no",1793,457,4,31,259,167
"90","15","2011","yes",120,121,2,11,58,52
"91","15","2012","no",1814,410,6,38,221,151
"92","15","2012","yes",116,114,1,9,66,39
"93","15","2013","no",1776,329,1,23,156,150
"94","15","2013","yes",104,105,0,8,69,28
"95","15","2014","no",1709,388,1,28,210,150
"96","15","2014","yes",87,86,1,12,51,23
"97","15","2015","no",1485,292,0,31,146,115
"98","15","2015","yes",41,44,0,14,19,11
"99","15","2016","no",1473,329,1,27,186,116
"100","15","2016","yes",57,56,1,6,25,25
"101","15","2017","no",2589,607,3,48,327,232
"102","15","2017","yes",103,104,3,22,65,17
"103","16","2009","no",6162,1181,5,136,490,555
"104","16","2009","yes",208,204,2,35,85,84
"105","16","2010","no",6080,1372,10,137,613,622
